emotion,question,comment,x,y,user_id,age,gender,sentiment_compound,sentiment_label,GRID_ID
Safety,1,My wife and I own the neighborhood in ul. Opletalova apartment and we have recently started a family and unfortunately it is impossible to go for a safe walk in the vicinity of this park (as well as the only park in the wider area). Let alone with a dog.,14.433,50.082412,rgp6z64q7,30-39,male,0.1531,positive,T-12
Safety,1,Cool,14.418,50.088178,mzgalfhbk,30-39,male,0.3182,positive,S-11
Safety,1,"Michalska 3, Cajovna U Zlateho Kohouta",14.42,50.084876,2q2u8d2hm,30-39,female,0.0,neutral,S-11
Safety,1,New World,14.391,50.091168,2q2u8d2hm,30-39,female,0.0,neutral,P-11
Safety,1,At the Tiger,14.418,50.085881,3wzbvgd7a,40-49,male,0.0,neutral,R-12
Safety,1,It would be one of the most racist streets in the centre - it has a lot of shops. But it's too cluttered with cars. This should be a dog zone!,14.422,50.084718,imstiuzcx,30-39,male,-0.4476,negative,S-11
Safety,1,Paris is also one long parking lot... too bad. Why can't it be car-free like Bahnhofstrasse in Zurich?,14.42,50.089289,imstiuzcx,30-39,male,-0.25,negative,S-11
Safety,1,Great park in the centre.,14.407,50.083341,imstiuzcx,30-39,male,0.6249,positive,R-12
Safety,1,I would like to spend my free time here again. But those safety checks are a real pain in the ass.,14.4,50.090411,imstiuzcx,30-39,male,-0.5574,negative,Q-11
Safety,1,nice atmosphere thanks to the musicians and artists,14.411,50.086539,t79djq1bv,50-59,male,0.6908,positive,R-12
Safety,1,a good place to relax,14.409,50.08849,t79djq1bv,50-59,male,0.7003,positive,R-11
Safety,1,Beautiful seating with a view of the Prague skyline.,14.399,50.084147,t79djq1bv,50-59,male,0.5994,positive,Q-11
Safety,1,Neighborhood meetings and small refreshments,14.408,50.08447,t79djq1bv,50-59,male,0.0,neutral,R-12
Safety,1,I go shopping and for groceries.,14.428,50.081207,72s8zrgbs,30-39,female,0.0,neutral,S-12
Safety,1,Cafe,14.425,50.0812,72s8zrgbs,30-39,female,0.0,neutral,S-12
Safety,1,St. Peter in Patras,14.434,50.091048,fultbm4qu,50-59,male,0.0,neutral,T-11
Safety,1,A small park,14.429,50.093057,fultbm4qu,50-59,male,0.0,neutral,S-11
Safety,1,On Porici 36 :-),14.435,50.089977,fultbm4qu,50-59,male,0.3182,positive,T-11
Safety,1,Frantiskanska garden,14.424,50.082098,fultbm4qu,50-59,male,0.0,neutral,S-12
Safety,1,"I like the place, but it's too crowded.",14.412,50.086515,ctfhrgf9v,50-59,female,0.1901,positive,R-12
Safety,1,Toilets are missing,14.409,50.085964,ctfhrgf9v,50-59,female,-0.296,negative,R-12
Safety,1,Old Town,14.42,50.09051,qzfokxn2r,,female,0.0,neutral,S-11
Safety,1,"Petrin, greenery, trees, a miracle.",14.395,50.084628,6ahet5irn,50-59,male,0.5859,positive,Q-11
Safety,1,Embankment,14.413,50.082635,ogq6umbcj,30-39,male,0.0,neutral,R-12
Safety,1,"food, walk from work...",14.431,50.08551,ogq6umbcj,30-39,male,0.0,neutral,T-12
Safety,1,Walks with a dog,14.399,50.083224,nz1d0xage,30-39,female,0.0,neutral,Q-12
Safety,1,dog walks,14.399,50.078708,nz1d0xage,30-39,female,0.0,neutral,Q-12
Safety,1,dog walks,14.392,50.086955,nz1d0xage,30-39,female,0.0,neutral,Q-11
Safety,1,dog walks,14.39,50.084904,nz1d0xage,30-39,female,0.0,neutral,P-12
Safety,1,with a dog,14.41,50.082067,nz1d0xage,30-39,female,0.0,neutral,R-12
Safety,1,with a dog,14.413,50.079658,nz1d0xage,30-39,female,0.0,neutral,R-12
Safety,1,"with a dog
with friends",14.408,50.083265,nz1d0xage,30-39,female,0.4767,positive,R-12
Safety,1,"Letenské sady
with a dog
with friends",14.416,50.094444,nz1d0xage,30-39,female,0.4767,positive,R-11
Safety,1,Park in front of the main station,14.433,50.083802,njyexnvll,30-39,female,0.0,neutral,T-12
Safety,1,residence Nekázanka 888/20,14.429,50.084587,owds875c9,50-59,female,0.0,neutral,S-11
Safety,1,"On the playground and all over Slovansky Island with children, for picnics, the nearest park from our home.",14.413,50.078322,kzx6q4nyo,30-39,female,0.0,neutral,R-13
Safety,1,"On the playground and all over Petrin, with children, foreign visitors, family. Petřín is our ""big enclosure"".",14.403,50.083169,kzx6q4nyo,30-39,female,0.0,neutral,Q-12
Safety,1,"Kampa, the perfect park for a picnic and sports with the family (if there wasn't so much dog poop and dogs everywhere).",14.408,50.083665,kzx6q4nyo,30-39,female,0.5719,positive,R-12
Safety,1,"The point does not describe this leisure grass, but I like to walk through the city centre, Old Town, Lesser Town... The city centre is, for us residents, our garden/run.",14.421,50.08763,kzx6q4nyo,30-39,female,0.5023,positive,S-11
Safety,1,We spend a lot of time with the kids in the city library - when we can.,14.418,50.087382,kzx6q4nyo,30-39,female,0.0,neutral,S-11
Safety,1,We spend a lot of time with the kids in the library of the French Institute - when we can.,14.425,50.079066,kzx6q4nyo,30-39,female,0.0,neutral,S-12
Safety,1,FFCU,14.416,50.088814,95n88n8w2,20-29,female,0.0,neutral,R-11
Safety,1,This is where I wait for the train,14.434,50.083802,47c66oq6f,20-29,male,0.0,neutral,T-12
Safety,1,Cyclists on the sidewalk on the Legion Bridge are endangering pedestrians.,14.411,50.081407,p1pwhsg51,40-49,female,0.0,neutral,R-12
Safety,1,Loving Hut,14.434,50.089969,xz3bj05kz,20-29,male,0.5994,positive,T-11
Safety,1,Here I am at home,14.428,50.088216,szww4g0xc,50-59,female,0.0,neutral,S-11
Safety,1,Learning on the grass.,14.413,50.079589,ws4f2r45v,20-29,male,0.0,neutral,R-12
Safety,1,Walks.,14.403,50.081214,ws4f2r45v,20-29,male,0.0,neutral,Q-12
Safety,1,Beautiful hidden plane trees.,14.429,50.085623,ws4f2r45v,20-29,male,0.5994,positive,S-11
Safety,1,FF Well.,14.416,50.088841,ws4f2r45v,20-29,male,0.6841,positive,R-11
Safety,1,It's good to rehearse on the bench before the exam.,14.409,50.091113,ws4f2r45v,20-29,male,0.4404,positive,R-11
Safety,1,The bench that was removed,14.401,50.083166,rpmmqbdpl,0-19,male,0.0,neutral,Q-12
Safety,1,Petrin. Wonderful walks. And what a lot of them!,14.394,50.084739,83jdtgw9z,60-69,female,0.6114,positive,Q-11
Safety,1,The area around St. Henry's Church lacks the pews that were once installed,14.431,50.084418,x7hvboxo0,60-69,male,0.0,neutral,T-12
Safety,1,Church of St. Henry,14.43,50.085018,x7hvboxo0,60-69,male,0.0,neutral,S-11
Safety,1,I'm reading under a tree,14.395,50.084463,pl0phveqq,50-59,female,0.0,neutral,Q-11
Safety,1,there is no cycle path,14.437,50.090707,wg11cqxid,30-39,male,-0.296,negative,T-11
Safety,1,I work here,14.432,50.086886,lwjg1o6c8,20-29,female,0.0,neutral,S-11
Safety,1,The whole centre of Prague 1,14.425,50.090108,ko2as9p43,50-59,male,0.0,neutral,S-11
Safety,1,I have lived here for 64 years.,14.435,50.087143,1m8siqsaa,60-69,female,0.0,neutral,T-12
Safety,1,"With the kids, with the dog, on walks with my girlfriend, while running.",14.398,50.081434,shwpc59hj,40-49,male,0.0,neutral,Q-12
Safety,1,Watering hole,14.404,50.081462,shwpc59hj,40-49,male,0.0,neutral,Q-12
Safety,1,"Drinking fountain, toilets, play area with children. Could be open longer. Especially in winter. Sometimes we come in and have to break into the playground.",14.403,50.083307,shwpc59hj,40-49,male,0.34,positive,Q-12
Safety,1,With children,14.397,50.082756,shwpc59hj,40-49,male,0.0,neutral,Q-12
Safety,1,I work and go to meetings at the mill. Maybe a beer. It's cool in the summer.,14.407,50.083031,shwpc59hj,40-49,male,0.3182,positive,R-12
Safety,1,On the playground with the kids. Could be open longer. Especially in the winter. We go to the maternity centre in the winter for the sauna.,14.408,50.083472,shwpc59hj,40-49,male,0.0,neutral,R-12
Safety,1,"To coffee and cake, to the exhibition.",14.408,50.085317,shwpc59hj,40-49,male,0.0,neutral,R-12
Safety,1,The playground. We used to watch fireworks from here when they were still around (I don't miss them).,14.409,50.086997,shwpc59hj,40-49,male,0.1139,positive,R-12
Safety,1,Shortcut. The vendors are in the way. I enjoyed the bridge during lockdowns when you could even run across it.,14.412,50.086501,shwpc59hj,40-49,male,0.5106,positive,R-12
Safety,1,"To the playground with the kids, for a beer or coffee with friends. The cafe on the south side of the island may not be beyond my financial means, but I'd feel like a snob if I went there. The elevator is great when I'm walking with a stroller.",14.41,50.081847,shwpc59hj,40-49,male,0.7876,positive,R-12
Safety,1,Unnecessarily too many cars. Annoying scooters on the pavement.,14.412,50.081462,shwpc59hj,40-49,male,-0.4019,negative,R-12
Safety,1,Relax outside the shrumec up on the street,14.413,50.082811,shwpc59hj,40-49,male,0.4404,positive,R-12
Safety,1,"Coffee, meetings, dates with my kids' mother. It's great that one direction is closed to cars. I'd close the other one, too.",14.414,50.081985,shwpc59hj,40-49,male,0.6249,positive,R-12
Safety,1,To the playground and to the train with the kids.,14.413,50.078653,shwpc59hj,40-49,male,0.0,neutral,R-12
Safety,1,"When walking and running through the city, I'm glad it's possible to walk across the whole island. The bridges at either end are great.",14.414,50.077358,shwpc59hj,40-49,male,0.7964,positive,R-13
Safety,1,For quality Czech design.,14.416,50.077854,shwpc59hj,40-49,male,0.0,neutral,R-13
Safety,1,To coffee and meetings with friends and business. I love the passage from Spalena to Opatovicka. More such passages and courtyards with businesses (not necessarily cafes).,14.419,50.079369,shwpc59hj,40-49,male,0.8074,positive,S-12
Safety,1,The best beer is at the Rarášků tap!,14.418,50.081709,shwpc59hj,40-49,male,0.6696,positive,R-12
Safety,1,Ice cream and desserts!,14.425,50.081765,shwpc59hj,40-49,male,0.0,neutral,S-12
Safety,1,"Rest in the middle of the city, shorten your journey, have a coffee in the Carpenter's Shop. The spoked passageways into the surrounding streets are excellent.",14.424,50.082233,shwpc59hj,40-49,male,0.5719,positive,S-12
Safety,1,For coffee,14.434,50.088649,shwpc59hj,40-49,male,0.0,neutral,T-11
Safety,1,"For books, for the theatre, for the cinema",14.426,50.081902,shwpc59hj,40-49,male,0.0,neutral,S-12
Safety,1,With children at exhibitions,14.432,50.080085,shwpc59hj,40-49,male,0.0,neutral,S-12
Safety,1,For books,14.429,50.081544,shwpc59hj,40-49,male,0.0,neutral,S-12
Safety,1,To beer when I want to escape the tourists,14.426,50.084491,shwpc59hj,40-49,male,0.25,positive,S-11
Safety,1,To the library and for children's games and toys,14.425,50.079424,shwpc59hj,40-49,male,0.0,neutral,S-12
Safety,1,For Asian cuisine.,14.421,50.081462,shwpc59hj,40-49,male,0.0,neutral,S-12
Safety,1,"For coffee early in the morning. I don't like Starbucks, but it's the only coffee shop open from 7am.",14.422,50.082811,shwpc59hj,40-49,male,-0.1419,negative,S-12
Safety,1,For a beer.,14.42,50.083224,shwpc59hj,40-49,male,0.0,neutral,R-12
Safety,1,Shorten the way through the passage. There could be more of them in Prague and this one could be more dignified.,14.422,50.084078,shwpc59hj,40-49,male,0.5413,positive,S-11
Safety,1,Student-priced coffee.,14.423,50.086556,shwpc59hj,40-49,male,0.0,neutral,S-11
Safety,1,"Coffee, food, jazz.",14.423,50.08807,shwpc59hj,40-49,male,0.0,neutral,S-11
Safety,1,To beer and music,14.426,50.090686,shwpc59hj,40-49,male,0.0,neutral,S-11
Safety,1,To the canteen,14.436,50.091017,shwpc59hj,40-49,male,0.0,neutral,T-11
Safety,1,For walks and jogs along the waterfront. I always get annoyed that you can't simply walk from the waterfront to the bridge. Then with a bike or a stroller.,14.427,50.093494,shwpc59hj,40-49,male,-0.3818,negative,S-10
Safety,1,"You can't simply cross from the embankment to the bridge here either. On foot, with a bicycle, with a stroller. With children, it's about fear.",14.417,50.0922,shwpc59hj,40-49,male,-0.4939,negative,R-11
Safety,1,"The cool thing is the piers, but they close early in the evening and at night. Running from the Chekhov Bridge, it's a life or death in car traffic. They shouldn't have to go that way at all.",14.415,50.093082,shwpc59hj,40-49,male,-0.6908,negative,R-11
Safety,1,A resting place in the park behind the wall.,14.409,50.088759,shwpc59hj,40-49,male,0.0,neutral,R-11
Safety,1,Enjoying the panoramas,14.411,50.088428,shwpc59hj,40-49,male,0.5267,positive,R-11
Safety,1,"Watch the fish, watch the peacocks, hide from the tourists",14.408,50.090411,shwpc59hj,40-49,male,-0.1779,negative,R-11
Safety,1,"For lunch, for coffee.",14.407,50.086253,shwpc59hj,40-49,male,0.0,neutral,R-12
Safety,1,For dinner,14.405,50.086198,shwpc59hj,40-49,male,0.0,neutral,Q-11
Safety,1,To the club for fun,14.404,50.086281,shwpc59hj,40-49,male,0.5106,positive,Q-11
Safety,1,"Coffee at the Coffee House, cognac at the Well, shops during the day.",14.402,50.087189,shwpc59hj,40-49,male,0.2732,positive,Q-11
Safety,1,Mend to Master Kelly.,14.399,50.088125,shwpc59hj,40-49,male,0.0,neutral,Q-11
Safety,1,N2 how it's falling into disrepair. I used to come here for entertainment.,14.4,50.088043,shwpc59hj,40-49,male,0.296,positive,Q-11
Safety,1,Enjoy the views.,14.391,50.087299,shwpc59hj,40-49,male,0.4939,positive,Q-11
Safety,1,For a walk and a jog,14.393,50.084656,shwpc59hj,40-49,male,0.0,neutral,P-12
Safety,1,For coffee and strudel,14.39,50.091347,shwpc59hj,40-49,male,0.0,neutral,P-11
Safety,1,For events. Not necessarily to the Scouts.,14.42,50.086831,shwpc59hj,40-49,male,0.0,neutral,S-11
Safety,1,Las Adelitas.,14.419,50.086308,shwpc59hj,40-49,male,0.0,neutral,S-11
Safety,1,To the Puppet Empire,14.417,50.087933,shwpc59hj,40-49,male,0.0,neutral,S-11
Safety,1,To the library,14.417,50.087437,shwpc59hj,40-49,male,0.0,neutral,S-11
Safety,1,To the library,14.417,50.086941,shwpc59hj,40-49,male,0.0,neutral,R-12
Safety,1,For coffee,14.396,50.088621,shwpc59hj,40-49,male,0.0,neutral,Q-11
Safety,1,For a beer and a view,14.398,50.089254,shwpc59hj,40-49,male,0.0,neutral,Q-11
Safety,1,To walk around the city,14.42,50.090934,shwpc59hj,40-49,male,0.0,neutral,S-11
Safety,1,On the boats,14.412,50.08047,shwpc59hj,40-49,male,0.0,neutral,R-12
Safety,1,Beautiful place,14.4,50.08361,1ek5qvvuu,0-19,male,0.5994,positive,Q-11
Safety,1,I used to come here to read.,14.415,50.089748,pg8my2g9a,30-39,female,0.0,neutral,R-11
Safety,1,My favorite spot from downtown.,14.408,50.08859,pg8my2g9a,30-39,female,0.4588,positive,R-11
Safety,1,playground,14.409,50.087002,pg8my2g9a,30-39,female,0.0,neutral,R-12
Safety,1,Petrin is a very pleasant place.,14.397,50.083737,pg8my2g9a,30-39,female,0.5563,positive,Q-11
Safety,1,Favourite library,14.417,50.087553,pg8my2g9a,30-39,female,0.0,neutral,S-11
Safety,1,A pleasant place to study.,14.415,50.086727,pg8my2g9a,30-39,female,0.5106,positive,R-12
Safety,1,An oasis of calm if one is in the centre with children.,14.424,50.082124,pg8my2g9a,30-39,female,0.3182,positive,S-12
Safety,1,"I like spending time in Prague One. It has everything, large parks, culture, monuments and is relatively clean.",14.414,50.078726,in002qbhl,60-69,female,0.6369,positive,R-12
Safety,1,Petrin,14.4,50.082918,92j0uw2ih,40-49,female,0.0,neutral,Q-12
Safety,1,Kampa Community Centre,14.407,50.082832,92j0uw2ih,40-49,female,0.0,neutral,R-12
Safety,1,The best place to walk the dogs!,14.504,50.067821,xnypzwfu7,20-29,male,0.6696,positive,Y-13
Safety,1,a few benches in the shade!,14.503,50.069818,xnypzwfu7,20-29,male,0.0,neutral,Y-13
Safety,1,Nice place for a walk and a walk,14.502,50.073557,xnypzwfu7,20-29,male,0.4215,positive,Y-13
Safety,1,"Farmers markets, fountain, we often meet our neighbors here.",14.478,50.071395,jp075pz02,30-39,female,0.0,neutral,W-13
Safety,1,playground,14.477,50.070234,jp075pz02,30-39,female,0.0,neutral,W-13
Safety,1,"A playground, and a lovely courtyard where we sometimes do little children's birthday parties",14.479,50.070316,jp075pz02,30-39,female,0.738,positive,W-13
Safety,1,"Community composters, a nice place in the green where we meet our neighbours",14.475,50.069511,jp075pz02,30-39,female,0.4215,positive,W-13
Safety,1,"Walking,Running",14.501,50.073544,pum2vdcwz,30-39,male,0.0,neutral,Y-13
Safety,1,Park Gutovka,14.491,50.071244,pum2vdcwz,30-39,male,0.0,neutral,X-13
Safety,1,Frantisek Suchy Park,14.486,50.074632,vx4tlbdg2,40-49,male,0.0,neutral,X-13
Safety,1,Nice place to walk,14.479,50.071547,vx4tlbdg2,40-49,male,0.4215,positive,W-13
Safety,1,Our favourite little park,14.506,50.076601,vx4tlbdg2,40-49,male,0.0,neutral,Y-12
Safety,1,Community Garden,14.493,50.073169,vx4tlbdg2,40-49,male,0.0,neutral,X-13
Safety,1,Dutch,14.457,50.069508,bxgbj1azl,50-59,female,0.0,neutral,U-13
Safety,1,"Our nearest forest. It's small, but at least it's something. Better than a park in that it is wilder and not as crowded as a grebe's house. But it could be more accessible from the side of Čechova Square. You have to take either a strange",14.462,50.060273,jvro3o4nm,30-39,female,0.3919,positive,V-14
Safety,1,The Pilots Cinema,14.447,50.071416,jvro3o4nm,30-39,female,0.0,neutral,U-13
Safety,1,walks between the villas,14.457,50.07373,jvro3o4nm,30-39,female,0.0,neutral,V-13
Safety,1,Takeoff Cinema - this is where I will be spending time when the facility opens. We like to walk around already - the exhibition in the Rohovka gallery visible from the street + coffee to hand.,14.456,50.069852,jvro3o4nm,30-39,female,0.6908,positive,U-13
Safety,1,walks by the botič,14.454,50.06463,jvro3o4nm,30-39,female,0.0,neutral,U-13
Safety,1,Petrohradská kolekitv - cultural point,14.452,50.064644,jvro3o4nm,30-39,female,0.0,neutral,U-13
Safety,1,walks by the track towards the Eden.,14.483,50.067372,jvro3o4nm,30-39,female,0.0,neutral,W-13
Safety,1,Only occasionally. The square usually looks crowded to me. The benches are very busy. I see it as more of a dog-friendly place (I don't have a dog).,14.459,50.068901,jvro3o4nm,30-39,female,0.0,neutral,U-13
Safety,1,I am designating the entire area of the Slatina emergency colony. A place with character. Walkable. I don't feel safe here sometimes. Dogs behind fences scare me a bit - narrow streets. But it's not so bad.  The place has a strong spirit that needs to be,14.484,50.061712,jvro3o4nm,30-39,female,0.8304,positive,X-14
Safety,1,Walks by the botič.,14.509,50.05069,jvro3o4nm,30-39,female,0.0,neutral,Y-15
Safety,1,Next to the place of residence,14.476,50.070101,537oh35dp,50-59,male,0.0,neutral,W-13
Safety,1,Home,14.517,50.066223,9ylvfxp9n,0-19,male,0.0,neutral,Z-14
Safety,1,shopping,14.469,50.067804,s9d321pdp,30-39,female,0.0,neutral,V-14
Safety,1,I'm moving here in six months.,14.463,50.067015,c652efz6a,30-39,female,0.0,neutral,V-14
Safety,1,"I go shopping here, especially at Anthony's and DM's.",14.455,50.069081,c652efz6a,30-39,female,0.0,neutral,U-13
Safety,1,I go to the organic store here.,14.457,50.068145,c652efz6a,30-39,female,0.0,neutral,U-13
Safety,1,I'm renting here now and will be moving into my own place by Uzbek,14.45,50.066947,c652efz6a,30-39,female,0.0,neutral,U-13
Safety,1,"I go to the woods here, but the drive from Vršovice is pretty bad.",14.462,50.062236,c652efz6a,30-39,female,-0.1154,negative,V-14
Safety,1,I come here irregularly to shop at the markets,14.479,50.071313,c652efz6a,30-39,female,0.0,neutral,W-13
Safety,1,A great place to take the kids for a walk. (It would be good if the bike path was longer - the little one can't ride and mummy can't run).,14.501,50.057139,3ve5w0w0k,30-39,female,0.7906,positive,Y-14
Safety,1,"An incredibly neglected place with great potential as a place for active gatherings. (Children, parents). The flower and all its surroundings.",14.497,50.057201,3ve5w0w0k,30-39,female,0.4779,positive,Y-14
Safety,1,Picnic ground in Malesicky forest,14.502,50.088044,e19sggt2n,30-39,male,0.0,neutral,Y-11
Safety,1,Malešický park,14.498,50.085017,e19sggt2n,30-39,male,0.0,neutral,Y-11
Safety,1,The unmaintained yard of our house...,14.472,50.070252,58c2cppwk,50-59,male,0.0,neutral,W-13
Safety,1,One of the few places in the area where you can have a quiet snack,14.477,50.066616,58c2cppwk,50-59,male,0.0,neutral,W-13
Safety,1,"There are always homeless people there, who by their smell, behaviour, performing bodily needs (defecating, pooping, vomiting...) bother the neighbourhood and destroy the once beautiful park by the Radošovická tram loop. Neither the town hall nor the c",14.494,50.067167,xfp7clha5,30-39,male,-0.25,negative,X-14
Safety,1,walks around Botice,14.454,50.065183,f8oi4sf7f,30-39,male,0.0,neutral,U-13
Safety,1,Scout meetings,14.504,50.074415,a1gjiwmxl,20-29,male,0.0,neutral,Y-12
Safety,1,On Slatiny The mud baths of Jára Cimrman and its surroundings....,14.484,50.062318,shql15giz,40-49,male,0.0,neutral,X-14
Safety,1,"Walk, bike ride",14.486,50.052978,pt87voqph,50-59,male,0.0,neutral,X-15
Safety,1,Cycling,14.5,50.052262,pt87voqph,50-59,male,0.0,neutral,Y-15
Safety,1,"I live here, I have a garden, a dog and a family",14.483,50.06289,cea0le0cp,60-69,male,0.0,neutral,X-14
Safety,1,Kids have fun here,14.484,50.062015,aiu0qewqi,40-49,male,0.5106,positive,X-14
Safety,1,It's always free.,14.47,50.064343,aiu0qewqi,40-49,male,0.5106,positive,V-14
Safety,1,Super view,14.462,50.061685,aiu0qewqi,40-49,male,0.5994,positive,V-14
Safety,1,Lots of benches.,14.455,50.064316,aiu0qewqi,40-49,male,0.0,neutral,U-13
Safety,1,Wonderful place built by volunteers. I recommend,14.484,50.061802,gebvpb8aa,30-39,male,0.7351,positive,X-14
Safety,1,with a dog,14.484,50.073062,72znja99h,40-49,female,0.0,neutral,X-13
Safety,1,park,14.5,50.076615,etm4aczm6,20-29,female,0.0,neutral,Y-12
Safety,1,park,14.499,50.08427,etm4aczm6,20-29,female,0.0,neutral,Y-11
Safety,1,Gutovka Park,14.496,50.072345,etm4aczm6,20-29,female,0.0,neutral,X-13
Safety,1,park,14.502,50.073695,etm4aczm6,20-29,female,0.0,neutral,Y-13
Safety,1,our garden,14.5,50.078019,etm4aczm6,20-29,female,0.0,neutral,Y-12
Safety,1,Library,14.5,50.081524,etm4aczm6,20-29,female,0.0,neutral,Y-12
Safety,1,malesice namesti,14.5,50.080787,etm4aczm6,20-29,female,0.0,neutral,Y-12
Safety,1,brewery,14.508,50.084518,etm4aczm6,20-29,female,0.0,neutral,Z-12
